customer_id,age,monthly_price,years_in_company,monthly_usage_hours,num_family_lines,churn_probability,churn_reason,recommended_retention_strategy,tariff_plan_Fiber + TV,tariff_plan_Fiber + TV + Mobile (Basic),tariff_plan_Fiber + TV + Mobile (Premium),tariff_plan_Fiber + TV + Mobile (Unlimited),tariff_plan_Fiber Only (Basic),tariff_plan_Fiber Only (Premium),tariff_plan_Mobile + Fiber (Standard),tariff_plan_Mobile - Basic,tariff_plan_Mobile - Standard,tariff_plan_Mobile - Unlimited,contract_type_Annual,contract_type_Monthly,customer_type_Couple,customer_type_Family,customer_type_Single,income_level_High,income_level_Low,income_level_Medium,contract_satisfaction_High,contract_satisfaction_Low,contract_satisfaction_Medium
39ad2065-a13e-4e8b-adfc-82340b9d2a48,20,29.04,8,59,0,Low,,,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,1,0,0,0,1
865b5367-fba1-4adf-9e9b-31924bb88950,27,25.66,6,198,0,Low,,,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,1,0,0,1,0,0
6eaa40e9-0fe4-457d-bf07-341a8e8372e8,27,51.14,7,206,2,Low,,,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,1
95e09dfe-d927-44c5-add2-611f87d3e9a4,31,30.62,6,294,0,Low,,,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0,0,1,0,0
ed747383-757a-47bc-8d1b-117b79fce941,51,44.15,7,69,4,Low,,,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,0,0,1,1,0,0
01ef16c0-13c9-4634-bcac-7f7b6bc6d444,42,51.65,10,140,2,Low,,,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1,0,1,0,0
3455ab57-562d-47c2-9e4f-8091a6efeade,75,98.51,5,249,6,Low,,,0,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0,0,1,1,0,0
06d82170-6379-41a4-ae18-2d1411aae3d9,53,20.62,1,212,2,Low,,,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,1,0,0,0,1
c8dd49d6-7a7d-41a5-90ca-e10279b88e88,23,49.7,10,216,4,Low,,,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,1,0,0,1,0,0
8090a6f5-ac26-43a9-b04d-4782e9b60ea1,28,37.94,3,90,0,High,Better Offers Elsewhere,iPhone Discount or Free Device,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,0,0,0,0,1
3e4cf831-acb2-489e-9e2a-296c4187ff92,44,11.04,2,108,1,Low,,,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,1,0,0,1,0,0
e4bbaa6d-8688-4d87-8494-b30864453246,26,78.32,4,268,4,High,No Longer Needed,,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0,1
345d0b91-778a-46d9-8cfe-c6166f42676f,29,24.86,8,90,0,Low,,,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,1,0,1,0,0
45d1eb19-4132-4a9e-bd88-2d723d02c06c,35,42.3,10,134,0,Low,,,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,1,0,0,1,0,0
f4f64261-4a97-43ac-9ee8-f136d5f7a96a,58,55.76,9,298,2,High,Better Offers Elsewhere,,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,1,0,0,0,0,1
cb92759a-3e7e-47ac-9f59-eb53ebbe5753,46,29.69,4,245,0,Low,,,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,1,0,0,0,1
0a69cf7c-2f98-4536-a3be-d6a6dbbe986b,68,18.52,10,223,1,Low,,,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,1,0,0,1,0,0
f446f991-eff2-40a3-94af-9aaa8ed9be7c,54,41.86,3,58,4,Low,,,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,0,1,0,0,0,1
38676208-e4ad-40a3-b4eb-617f18e840f4,71,59.44,1,127,3,High,Better Offers Elsewhere,,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,1,0,0,0,1,0
0428f551-0d07-4d26-a81f-6e865aaeaa1b,32,52.85,4,155,3,Low,,,0,0,0,0,0,0,1,0,0,0,0,1,1,0,0,1,0,0,0,0,1
c4860fe2-e19d-4732-b2e3-11cb4ce4e3f7,52,20.09,2,154,2,Low,,,0,0,0,0,0,0,0,0,1,0,0,1,0,1,0,0,1,0,1,0,0
6776eada-f1b9-4dd4-a3a5-6274c12e8576,55,36.69,6,174,0,Medium,,,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1,0,0,1
4e65fd08-8173-45a8-bf57-a985b006006c,28,53.41,6,62,2,Low,,,0,1,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0,0,1,0,0
c4f96447-af4d-4cd7-9f92-12abc9128142,28,50.48,9,288,3,Low,,,0,0,0,0,0,0,1,0,0,0,1,0,1,0,0,0,1,0,1,0,0
91a94fe8-d8d8-4c0d-8aaf-e673f53fe7ac,71,39.99,9,246,0,Low,,,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,1,0,0
f801ab01-2da7-453e-b1dc-a37652884ea2,79,58.99,8,242,3,Low,,,0,0,0,0,0,0,1,0,0,0,0,1,1,0,0,0,0,1,0,0,1
5b7b2c03-0ed3-4f27-a327-d7e69417e981,51,59.14,6,146,2,Low,,,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,0,1,0,0
a6fe24c3-1c4a-495b-9e23-1569c6c9f119,61,29.04,2,238,2,Low,,,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1,0,1,0,0,0,1
9ef3a297-a569-474d-b448-f02d2a5f580c,38,42.23,7,49,0,Low,,,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,1,0,0,1,0,0
d07b5373-6138-4ccc-b691-cc04c597de31,58,23.95,1,78,0,Low,,,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0,1,1,0,0
2f9acd09-23c4-4051-bf1a-0754ab5866b4,41,41.6,9,198,0,Low,,,0,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0,1,0,0,0,1
549979df-be4b-4f67-bce5-95b69df86163,76,15.61,8,203,1,Medium,,,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,1,0,0,1,0,0
17f1a037-0632-4b5f-814b-f159815a8cd4,37,10.28,9,285,1,High,High Price,10% Discount,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,1,0,0,0,1
59823c8c-397e-4770-931c-c0ed9a2ed80f,76,48.96,7,188,4,Low,,,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,0,1,0,1,0,0
59a2b19f-5ccd-4793-8500-2731e9f1c7e8,18,97.01,8,266,6,Low,,,0,0,0,1,0,0,0,0,0,0,1,0,1,0,0,1,0,0,0,0,1
d26601f3-dd4d-4431-8595-45994e79cce5,44,59.59,9,33,2,Low,,,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1,1,0,0
42153743-099a-4584-8170-f0ae842c07ad,21,18.38,7,263,1,Medium,,,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,1,0,0,0,0,1
6afd9e47-035d-46b8-ba79-8db6e60027fa,41,56.73,3,119,3,High,Better Offers Elsewhere,,0,0,0,0,0,0,1,0,0,0,0,1,1,0,0,0,0,1,0,1,0
6574345c-b556-4706-b5eb-86ab68da8ae0,31,52.5,7,172,3,Low,,,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,1,1,0,0
2419880b-0195-446f-bd99-e2fa61a26f73,26,21.13,3,37,2,Low,,,0,0,0,0,0,0,0,0,1,0,1,0,1,0,0,0,0,1,1,0,0
de244169-c77f-4e86-996c-7983f38ac25a,21,71.31,7,148,4,Low,,,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,1,0,1,0,0
c69629a5-5bea-485d-8391-01e3265c0af9,35,46.01,5,53,4,Low,,,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,0,0,1,0,0,1
fe0e9b71-e74b-4467-bfbb-fb7a1445d5ea,23,76.13,3,238,4,Medium,,,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,1,0,0,0,1,0
e1bf0639-fd05-4155-8797-272790910cb9,33,57.91,3,28,2,High,Low Data Allowance,Upgrade to Better Plan,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0,1,0
ff817789-9e9c-4838-b4bf-11f576879876,69,41.47,6,66,4,Low,,,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,0,1,0,1,0,0
2a23f8c5-659a-47e1-ac74-2813d56f113b,19,71.47,1,86,4,Medium,,,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,1,0
f8b07e15-32c7-4756-a6fa-fbc4d1ef47d9,79,52.18,1,161,3,Medium,,,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1,1,0,0,0,0,1
f8770f56-bd71-4b74-b32c-c824c7c99058,52,29.71,5,82,2,Low,,,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1,0,0,1,1,0,0
4fa7325d-7b32-41eb-ac03-eb7c189b8378,27,79.63,4,282,4,High,No Longer Needed,,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,1,0,0,0,1,0
6402e13e-0a2e-4dbc-9ecd-241c330b4ce3,60,90.01,4,145,6,Low,,,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0,1
a7aa7bf8-e3f1-49b9-9a4f-88f43eadb387,41,73.72,8,228,4,Low,,,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,1,0,0,0,1
ea9539e1-bdff-4989-8eb3-fadae6035baa,42,51.85,1,289,2,High,Better Offers Elsewhere,,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0,1,0
d5b375cb-6c21-4471-a693-c4871e6f41f7,34,92.43,5,248,6,High,High Price,,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,1,0
90bbf036-ed02-42a9-8608-9314f0c6a824,30,54.49,2,107,2,Medium,,,0,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,0,0,1
ecaf083a-6f24-4e91-af17-5f7231ca5edf,29,77.2,10,175,4,Low,,,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,1,0,0,1,0,0
bd348c10-203a-491e-b117-6f41fa6cea79,20,26.28,4,161,2,Low,,,0,0,0,0,0,0,0,0,1,0,0,1,1,0,0,1,0,0,1,0,0
